Date,Symbol,Close,EMA1,EMA2,MACD,SIGNAL
2018-06-13,QQQ,175.82,174.1328,172.1,2.0329,1.7373
2018-06-14,QQQ,177.6,174.7632,172.6238,2.1394,1.7876
2018-06-15,QQQ,176.98,175.1663,173.0387,2.1276,1.8301
2018-06-18,QQQ,176.5,175.4088,173.3683,2.0405,1.8564
2018-06-19,QQQ,176.0,175.5163,173.619,1.8973,1.8615
2018-06-20,QQQ,177.25,175.8315,173.9648,1.8667,1.8621
2018-06-21,QQQ,175.71,175.8094,174.131,1.6784,1.8392
2018-06-22,QQQ,175.32,175.7204,174.2442,1.4762,1.7938
2018-06-25,QQQ,171.37,174.9294,173.9705,0.9589,1.6894
2018-06-26,QQQ,172.07,174.4095,173.7895,0.6201,1.5558
2018-06-27,QQQ,169.73,173.5587,173.4029,0.1558,1.3808
2018-06-28,QQQ,171.19,173.128,173.1921,-0.0641,1.2002
2018-06-29,QQQ,171.65,172.8593,173.0453,-0.1859,1.0269
2018-07-02,QQQ,172.8,172.8485,173.0219,-0.1734,0.8769
2018-07-03,QQQ,170.8,172.4761,172.8103,-0.3342,0.7255
2018-07-05,QQQ,172.92,172.5568,172.8207,-0.264,0.6018
2018-07-06,QQQ,175.61,173.1119,173.0864,0.0255,0.5298
2018-07-09,QQQ,177.19,173.8534,173.4772,0.3762,0.5106
2018-07-10,QQQ,177.32,174.4837,173.8432,0.6405,0.5268
2018-07-11,QQQ,176.42,174.8357,174.0886,0.7471,0.5544
2018-07-12,QQQ,179.46,175.6765,174.6002,1.0764,0.6196
2018-07-13,QQQ,179.61,176.3917,175.0773,1.3144,0.7065
2018-07-16,QQQ,179.18,176.8987,175.468,1.4306,0.797
2018-07-17,QQQ,180.27,177.5116,175.9253,1.5863,0.8956
2018-07-18,QQQ,179.93,177.9513,176.3067,1.6446,0.9893
2018-07-19,QQQ,179.03,178.1475,176.5661,1.5814,1.0633
2018-07-20,QQQ,178.99,178.3006,176.797,1.5037,1.1183
